energy,s046,mean
2.463119999999999891e+03,2.285717999999999951e-03,2.285717999999999951e-03
2.463360000000000127e+03,-1.208667000000000075e-02,-1.208667000000000075e-02
2.463599999999999909e+03,-1.027261999999999967e-02,-1.027261999999999967e-02
2.463839999999999691e+03,2.128647000000000004e-03,2.128647000000000004e-03
2.464079999999999927e+03,3.210301999999999947e-03,3.210301999999999947e-03
2.464319999999999709e+03,9.366858999999999949e-03,9.366858999999999949e-03
2.464559999999999945e+03,-4.196900000000000153e-04,-4.196900000000000153e-04
2.464799999999999727e+03,5.787450000000000407e-03,5.787450000000000407e-03
2.465039999999999964e+03,1.604111999999999899e-02,1.604111999999999899e-02
2.465279999999999745e+03,-1.841844000000000033e-03,-1.841844000000000033e-03
2.465519999999999982e+03,1.476891999999999962e-02,1.476891999999999962e-02
2.465759999999999764e+03,1.132284000000000068e-02,1.132284000000000068e-02
2.466000000000000000e+03,-1.035700999999999983e-02,-1.035700999999999983e-02
2.466239999999999782e+03,8.006011000000000377e-03,8.006011000000000377e-03
2.466479999999999563e+03,2.348592000000000041e-02,2.348592000000000041e-02
2.466719999999999800e+03,9.128264000000000516e-03,9.128264000000000516e-03
2.466960000000000036e+03,1.595861999999999975e-02,1.595861999999999975e-02
2.467200000000000273e+03,1.504418000000000075e-02,1.504418000000000075e-02
2.467449999999999818e+03,1.268835999999999922e-02,1.268835999999999922e-02
2.467690000000000055e+03,4.803521000000000180e-02,4.803521000000000180e-02
2.467929999999999836e+03,8.372076000000000517e-02,8.372076000000000517e-02
2.468170000000000073e+03,1.109147999999999940e-01,1.109147999999999940e-01
2.468409999999999854e+03,1.818194999999999950e-01,1.818194999999999950e-01
2.468649999999999636e+03,3.374241000000000046e-01,3.374241000000000046e-01
2.468889999999999873e+03,3.459945999999999855e-01,3.459945999999999855e-01
2.469139999999999873e+03,1.780772999999999939e-01,1.780772999999999939e-01
2.469380000000000109e+03,9.012230000000000241e-02,9.012230000000000241e-02
2.469619999999999891e+03,1.286992999999999887e-01,1.286992999999999887e-01
2.469860000000000127e+03,1.479890000000000094e-01,1.479890000000000094e-01
2.470099999999999909e+03,2.435192999999999941e-01,2.435192999999999941e-01
2.470349999999999909e+03,4.734908999999999923e-01,4.734908999999999923e-01
2.470590000000000146e+03,5.755643000000000287e-01,5.755643000000000287e-01
2.470829999999999927e+03,6.724132000000000442e-01,6.724132000000000442e-01
2.471070000000000164e+03,7.062370999999999510e-01,7.062370999999999510e-01
2.471320000000000164e+03,7.333239999999999759e-01,7.333239999999999759e-01
2.471560000000000400e+03,7.341695000000000304e-01,7.341695000000000304e-01
2.471800000000000182e+03,6.409882999999999553e-01,6.409882999999999553e-01
2.472039999999999964e+03,6.469797999999999938e-01,6.469797999999999938e-01
2.472289999999999964e+03,6.341111999999999860e-01,6.341111999999999860e-01
2.472529999999999745e+03,6.259588999999999848e-01,6.259588999999999848e-01
2.472769999999999982e+03,6.444113000000000202e-01,6.444113000000000202e-01
2.473019999999999982e+03,4.837598000000000176e-01,4.837598000000000176e-01
2.473259999999999764e+03,6.217608000000000024e-01,6.217608000000000024e-01
2.473500000000000000e+03,5.993640000000000079e-01,5.993640000000000079e-01
2.473750000000000000e+03,5.412607000000000390e-01,5.412607000000000390e-01
2.473990000000000236e+03,6.592189000000000521e-01,6.592189000000000521e-01
2.474230000000000018e+03,5.564006000000000229e-01,5.564006000000000229e-01
2.474479999999999563e+03,6.027337999999999862e-01,6.027337999999999862e-01
2.474720000000000255e+03,4.993655000000000177e-01,4.993655000000000177e-01
2.474960000000000036e+03,4.727387000000000117e-01,4.727387000000000117e-01
2.475210000000000036e+03,4.804710999999999843e-01,4.804710999999999843e-01
2.475449999999999818e+03,4.348656000000000188e-01,4.348656000000000188e-01
2.475699999999999818e+03,5.369258999999999560e-01,5.369258999999999560e-01
2.475940000000000055e+03,4.908718000000000248e-01,4.908718000000000248e-01
2.476190000000000055e+03,5.105815000000000214e-01,5.105815000000000214e-01
2.476430000000000291e+03,6.028909000000000074e-01,6.028909000000000074e-01
2.476670000000000073e+03,4.744574999999999765e-01,4.744574999999999765e-01
2.476919999999999618e+03,6.990547999999999762e-01,6.990547999999999762e-01
2.477159999999999854e+03,6.385016999999999499e-01,6.385016999999999499e-01
2.477409999999999854e+03,6.468308000000000391e-01,6.468308000000000391e-01
2.477650000000000091e+03,7.697663000000000144e-01,7.697663000000000144e-01
2.477900000000000091e+03,7.697515999999999803e-01,7.697515999999999803e-01
2.478139999999999873e+03,7.930823000000000178e-01,7.930823000000000178e-01
2.478389999999999873e+03,6.248350999999999766e-01,6.248350999999999766e-01
2.478630000000000109e+03,7.919764999999999722e-01,7.919764999999999722e-01
2.478880000000000109e+03,7.014553999999999512e-01,7.014553999999999512e-01
2.479119999999999891e+03,7.798388000000000542e-01,7.798388000000000542e-01
2.479369999999999891e+03,8.144223999999999908e-01,8.144223999999999908e-01
2.479620000000000346e+03,7.725746000000000002e-01,7.725746000000000002e-01
2.479860000000000127e+03,8.804840000000000444e-01,8.804840000000000444e-01
2.480109999999999673e+03,1.003611999999999949e+00,1.003611999999999949e+00
2.480349999999999909e+03,1.158644999999999925e+00,1.158644999999999925e+00
2.480599999999999909e+03,1.302038999999999946e+00,1.302038999999999946e+00
2.480850000000000364e+03,1.433049000000000017e+00,1.433049000000000017e+00
2.481090000000000146e+03,1.851018999999999970e+00,1.851018999999999970e+00
2.481339999999999691e+03,2.558781000000000194e+00,2.558781000000000194e+00
2.481579999999999927e+03,3.512078999999999951e+00,3.512078999999999951e+00
2.481829999999999927e+03,3.771987000000000201e+00,3.771987000000000201e+00
2.482079999999999927e+03,4.206851000000000340e+00,4.206851000000000340e+00
2.482320000000000164e+03,4.072779999999999845e+00,4.072779999999999845e+00
2.482570000000000164e+03,3.535258999999999929e+00,3.535258999999999929e+00
2.482819999999999709e+03,3.037043000000000159e+00,3.037043000000000159e+00
2.483059999999999945e+03,2.689242999999999828e+00,2.689242999999999828e+00
2.483309999999999945e+03,1.916975000000000096e+00,1.916975000000000096e+00
2.483560000000000400e+03,1.552427999999999919e+00,1.552427999999999919e+00
2.483809999999999945e+03,1.351223000000000063e+00,1.351223000000000063e+00
2.484049999999999727e+03,1.194388999999999923e+00,1.194388999999999923e+00
2.484300000000000182e+03,1.123048000000000046e+00,1.123048000000000046e+00
2.484550000000000182e+03,1.154716000000000076e+00,1.154716000000000076e+00
2.484799999999999727e+03,9.324999999999999956e-01,9.324999999999999956e-01
2.485039999999999964e+03,1.060318000000000094e+00,1.060318000000000094e+00
2.485289999999999964e+03,9.651421000000000028e-01,9.651421000000000028e-01
2.485539999999999964e+03,8.820883000000000473e-01,8.820883000000000473e-01
2.485789999999999964e+03,9.679740999999999485e-01,9.679740999999999485e-01
2.486029999999999745e+03,8.060654000000000430e-01,8.060654000000000430e-01
2.486279999999999745e+03,9.559583999999999859e-01,9.559583999999999859e-01
2.486530000000000200e+03,8.144468999999999737e-01,8.144468999999999737e-01
2.486780000000000200e+03,7.493307000000000162e-01,7.493307000000000162e-01
2.487029999999999745e+03,7.878979000000000399e-01,7.878979000000000399e-01
2.487280000000000200e+03,8.315046000000000381e-01,8.315046000000000381e-01
2.487519999999999982e+03,8.975661999999999807e-01,8.975661999999999807e-01
2.487769999999999982e+03,9.364616000000000051e-01,9.364616000000000051e-01
2.488019999999999982e+03,9.669590999999999603e-01,9.669590999999999603e-01
2.488269999999999982e+03,7.798363999999999852e-01,7.798363999999999852e-01
2.488519999999999982e+03,8.905762000000000400e-01,8.905762000000000400e-01
2.488769999999999982e+03,8.652351999999999821e-01,8.652351999999999821e-01
2.489019999999999982e+03,9.669837000000000016e-01,9.669837000000000016e-01
2.489269999999999982e+03,1.010208999999999913e+00,1.010208999999999913e+00
2.489519999999999982e+03,9.339161000000000268e-01,9.339161000000000268e-01
2.489769999999999982e+03,9.795722999999999514e-01,9.795722999999999514e-01
2.490009999999999764e+03,8.972470000000000168e-01,8.972470000000000168e-01
2.490260000000000218e+03,9.278264000000000511e-01,9.278264000000000511e-01
2.490510000000000218e+03,9.034349000000000407e-01,9.034349000000000407e-01
2.490759999999999764e+03,1.028421000000000030e+00,1.028421000000000030e+00
2.491010000000000218e+03,1.094875000000000043e+00,1.094875000000000043e+00
2.491260000000000218e+03,1.091863000000000028e+00,1.091863000000000028e+00
2.491509999999999764e+03,1.117720000000000047e+00,1.117720000000000047e+00
2.491760000000000218e+03,1.057067999999999897e+00,1.057067999999999897e+00
2.492010000000000218e+03,1.108200999999999992e+00,1.108200999999999992e+00
2.492259999999999764e+03,1.177381000000000011e+00,1.177381000000000011e+00
2.492509999999999764e+03,1.116098999999999952e+00,1.116098999999999952e+00
2.492760000000000218e+03,1.122664000000000106e+00,1.122664000000000106e+00
2.493019999999999982e+03,1.209964999999999957e+00,1.209964999999999957e+00
2.493269999999999982e+03,1.147456000000000031e+00,1.147456000000000031e+00
2.493519999999999982e+03,1.203670999999999935e+00,1.203670999999999935e+00
2.493769999999999982e+03,1.127755000000000063e+00,1.127755000000000063e+00
2.494019999999999982e+03,1.124325000000000019e+00,1.124325000000000019e+00
2.494270000000000437e+03,1.221605000000000052e+00,1.221605000000000052e+00
2.494519999999999982e+03,1.125242000000000075e+00,1.125242000000000075e+00
2.494769999999999982e+03,1.118619999999999948e+00,1.118619999999999948e+00
2.495019999999999982e+03,1.221678000000000042e+00,1.221678000000000042e+00
2.495269999999999982e+03,1.021913999999999989e+00,1.021913999999999989e+00
2.495530000000000200e+03,1.032628000000000101e+00,1.032628000000000101e+00
2.495779999999999745e+03,1.226434000000000024e+00,1.226434000000000024e+00
2.496030000000000200e+03,1.143993999999999955e+00,1.143993999999999955e+00
2.496280000000000200e+03,1.271622999999999948e+00,1.271622999999999948e+00
2.496529999999999745e+03,1.142282999999999937e+00,1.142282999999999937e+00
2.496789999999999964e+03,1.250161999999999995e+00,1.250161999999999995e+00
2.497039999999999964e+03,1.212428999999999979e+00,1.212428999999999979e+00
2.497289999999999964e+03,1.393540000000000001e+00,1.393540000000000001e+00
2.497539999999999964e+03,1.102160000000000029e+00,1.102160000000000029e+00
2.497789999999999964e+03,1.380222999999999978e+00,1.380222999999999978e+00
2.498050000000000182e+03,1.248231000000000090e+00,1.248231000000000090e+00
2.498300000000000182e+03,1.242852999999999986e+00,1.242852999999999986e+00
2.498549999999999727e+03,1.281446000000000085e+00,1.281446000000000085e+00
2.498800000000000182e+03,1.068421000000000065e+00,1.068421000000000065e+00
2.499059999999999945e+03,1.159685000000000077e+00,1.159685000000000077e+00
2.499309999999999945e+03,1.070418000000000092e+00,1.070418000000000092e+00
2.499559999999999945e+03,1.041222000000000092e+00,1.041222000000000092e+00
2.499820000000000164e+03,1.097796999999999912e+00,1.097796999999999912e+00
2.500070000000000164e+03,1.247289000000000092e+00,1.247289000000000092e+00
2.500319999999999709e+03,1.174139000000000044e+00,1.174139000000000044e+00
2.500579999999999927e+03,1.222062999999999899e+00,1.222062999999999899e+00
2.500829999999999927e+03,1.161386999999999947e+00,1.161386999999999947e+00
2.501079999999999927e+03,1.064451000000000036e+00,1.064451000000000036e+00
2.501339999999999691e+03,1.232482000000000077e+00,1.232482000000000077e+00
2.501590000000000146e+03,1.106956000000000051e+00,1.106956000000000051e+00
2.501849999999999909e+03,9.462755000000000472e-01,9.462755000000000472e-01
2.502099999999999909e+03,9.535683999999999827e-01,9.535683999999999827e-01
2.502349999999999909e+03,1.119331999999999994e+00,1.119331999999999994e+00
2.502609999999999673e+03,1.046199000000000101e+00,1.046199000000000101e+00
2.502860000000000127e+03,1.097223999999999977e+00,1.097223999999999977e+00
2.503119999999999891e+03,1.075698000000000043e+00,1.075698000000000043e+00
2.503369999999999891e+03,8.841426999999999481e-01,8.841426999999999481e-01
2.503620000000000346e+03,8.998580000000000467e-01,8.998580000000000467e-01
2.503880000000000109e+03,1.120076999999999989e+00,1.120076999999999989e+00
2.504130000000000109e+03,1.064345000000000097e+00,1.064345000000000097e+00
2.504389999999999873e+03,8.486932000000000365e-01,8.486932000000000365e-01
2.504640000000000327e+03,9.224324000000000412e-01,9.224324000000000412e-01
2.504900000000000091e+03,9.952549000000000534e-01,9.952549000000000534e-01
2.505150000000000091e+03,9.889196999999999571e-01,9.889196999999999571e-01
2.505409999999999854e+03,9.377138999999999891e-01,9.377138999999999891e-01
2.505660000000000309e+03,9.212046999999999874e-01,9.212046999999999874e-01
2.505920000000000073e+03,9.035085999999999951e-01,9.035085999999999951e-01
2.506180000000000291e+03,7.650181999999999816e-01,7.650181999999999816e-01
2.506429999999999836e+03,7.841302999999999468e-01,7.841302999999999468e-01
2.506690000000000055e+03,9.137644000000000322e-01,9.137644000000000322e-01
2.506940000000000055e+03,8.687793000000000321e-01,8.687793000000000321e-01
2.507200000000000273e+03,8.728228000000000097e-01,8.728228000000000097e-01
2.507449999999999818e+03,9.592488000000000126e-01,9.592488000000000126e-01
2.507710000000000036e+03,8.788715000000000277e-01,8.788715000000000277e-01
2.507969999999999800e+03,8.874412999999999885e-01,8.874412999999999885e-01
2.508220000000000255e+03,8.662583000000000366e-01,8.662583000000000366e-01
2.508480000000000018e+03,8.535633000000000248e-01,8.535633000000000248e-01
2.508739999999999782e+03,8.915665999999999869e-01,8.915665999999999869e-01
2.508989999999999782e+03,8.965267000000000097e-01,8.965267000000000097e-01
2.509250000000000000e+03,8.528512000000000315e-01,8.528512000000000315e-01
2.509510000000000218e+03,8.230003000000000180e-01,8.230003000000000180e-01
2.509760000000000218e+03,7.598951000000000455e-01,7.598951000000000455e-01
2.510019999999999982e+03,8.851577000000000472e-01,8.851577000000000472e-01
2.510279999999999745e+03,1.029829000000000105e+00,1.029829000000000105e+00
2.510530000000000200e+03,8.644167000000000378e-01,8.644167000000000378e-01
2.510789999999999964e+03,8.871466000000000074e-01,8.871466000000000074e-01
2.511050000000000182e+03,8.823337999999999459e-01,8.823337999999999459e-01
2.511299999999999727e+03,7.859506000000000547e-01,7.859506000000000547e-01
2.511559999999999945e+03,7.342047000000000434e-01,7.342047000000000434e-01
2.511820000000000164e+03,9.976040000000000463e-01,9.976040000000000463e-01
2.512079999999999927e+03,8.840116999999999559e-01,8.840116999999999559e-01
2.512340000000000146e+03,7.825955999999999468e-01,7.825955999999999468e-01
2.512589999999999691e+03,8.274529999999999941e-01,8.274529999999999941e-01
2.512849999999999909e+03,8.441669000000000533e-01,8.441669000000000533e-01
2.513110000000000127e+03,8.100678999999999519e-01,8.100678999999999519e-01
2.513369999999999891e+03,8.169596999999999554e-01,8.169596999999999554e-01
2.513630000000000109e+03,8.347377000000000269e-01,8.347377000000000269e-01
2.513880000000000109e+03,8.112219999999999986e-01,8.112219999999999986e-01
2.514139999999999873e+03,8.588508999999999727e-01,8.588508999999999727e-01
2.514400000000000091e+03,8.650797000000000070e-01,8.650797000000000070e-01
2.514660000000000309e+03,7.613225999999999605e-01,7.613225999999999605e-01
2.514920000000000073e+03,8.770708000000000393e-01,8.770708000000000393e-01
2.515179999999999836e+03,7.755678999999999768e-01,7.755678999999999768e-01
2.515440000000000055e+03,8.473754000000000008e-01,8.473754000000000008e-01
2.515699999999999818e+03,8.473427000000000042e-01,8.473427000000000042e-01
